"Question","Options","Correct Answer","Explanation"
"How many usable IP addresses are available on the 192.168.1.0/27 network?","A) 256, B) 254, C) 62, D) 30, E) 16, F) 32.","D","A /27 mask is the same as 255.255.255.224. This leaves 5 host bits. With 5 host bits, 32 IP addresses are possible, but one address represents the subnet number and one address represents the broadcast address. Thus, 30 addresses can then be used to assign to network devices."
"What is the process of dividing a data stream into smaller pieces before transmission?","A) segmentation, B) encapsulation, C) encoding, D) flow control.","A","Data streams would cause significant network congestion if they were transmitted as a single large stream of bits. To increase efficiency, data streams are segmented into smaller more manageable pieces which are then transmitted over the network."
"When IPv4 addressing is manually configured on a web server, which property of the IPv4 configuration identifies the network and host portion for an IPv4 address?","A) DNS server address, B) subnet mask, C) default gateway, D) DHCP server address.","B","The subnet mask is used to determine the network address portion and host address portion for an IPv4 address. It helps identify which part of the IP address is the network identifier and which part is the host identifier."
"Which two roles can a computer assume in a peer-to-peer network where a file is being shared between two computers? (Choose two.)","A) client, B) master, C) server, D) slave, E) transient.","A,C","In a peer-to-peer (P2P) network, two or more computers are connected and can share resources without the use of a dedicated server. The computer that has the file acts as a server for the device (the client) that requests the file."
"Which two protocols operate at the highest layer of the TCP/IP protocol stack? (Choose two.)","A) DNS, B) Ethernet, C) IP, D) POP, E) TCP, F) UDP.","A,D","The application layer is the top layer of the TCP/IP protocol stack. Application layer protocols include HTTP, DNS, HTML, TFTP, POP, IMAP, FTP, and SMTP."
"What is one difference between the client-server and peer-to-peer network models?","A) Only in the client-server model can file transfers occur., B) Every device in a peer-to-peer network can function as a client or a server., C) A peer-to-peer network transfers data faster than a transfer using a client-server network., D) A data transfer that uses a device serving in a client role requires that a dedicated server be present.","B","In a peer-to-peer (P2P) network, every device can function as both a client and a server, allowing for direct sharing of resources between devices. In a client-server network, specific devices are dedicated to serving resources, and others are dedicated to requesting and using those resources. This is a fundamental difference between the two network models."
"What is the function of the HTTP GET message?","A) to request an HTML page from a web server, B) to send error information from a web server to a web client, C) to upload content to a web server from a web client, D) to retrieve client email from an email server using TCP port 110.","A","The HTTP GET message is used by clients to request data from a web server, typically requesting an HTML page or other resources."
"Which networking model is being used when an author uploads one chapter document to a file server of a book publisher?","A) peer-to-peer, B) master-slave, C) client/server, D) point-to-point.","C","In the client/server network model, a network device assumes the role of the server to provide services such as file storage and transfer. In this scenario, the author uploading a document to a file server indicates the use of the client/server model."
"What network service resolves the URL entered on a PC to the IP address of the destination server?","A) DNS, B) DHCP, C) FTP, D) SNMP.","A","DNS (Domain Name System) is the network service that resolves human-readable URLs into IP addresses."
"A network engineer is analyzing reports from a recently performed network baseline. Which situation would depict a possible latency issue?","A) a change in the bandwidth according to the show interfaces output, B) a next-hop timeout from a traceroute, C) an increase in host-to-host ping response times, D) a change in the amount of RAM according to the show version output.","C","An increase in host-to-host ping response times indicates a possible latency issue in the network. Latency refers to delays in data transmission."
"Which firewall feature is used to ensure that packets coming into a network are legitimate responses to requests initiated from internal hosts?","A) stateful packet inspection, B) URL filtering, C) application filtering, D) packet filtering.","A","Stateful packet inspection on a firewall checks that incoming packets are legitimate responses to requests originating from hosts inside the network, helping to prevent unauthorized external access."
"What is one indication that a Windows computer did not receive an IPv4 address from a DHCP server?","A) The computer cannot ping 127.0.0.1., B) Windows displays a DHCP timeout message., C) The computer receives an IP address that starts with 169.254, D) The computer cannot ping other devices on the same network with IP addresses in the 169.254.0.0/16 range.","C","When a Windows PC does not receive an IPv4 address from a DHCP server, it automatically assigns an IP address in the 169.254.0.0/16 range, which indicates a lack of DHCP server communication."
"Which command can an administrator issue on a Cisco router to send debug messages to the vty lines?","A) terminal monitor, B) logging console, C) logging buffered, D) logging synchronous.","A","To send debug messages to the vty lines, an administrator can use the 'terminal monitor' command."
"During data communications, a host may need to send a single message to a specific group of destination hosts simultaneously. This message is in the form of a Multicast message.","","","During data communications, a host may need to send a single message to a specific group of destination hosts simultaneously. This message is in the form of a Multicast message."
"A medium-sized business is researching available options for connecting to the Internet. The company is looking for a high-speed option with dedicated, symmetric access. Which connection type should the company choose?","A) DSL, B) dialup, C) satellite, D) leased line, E) cable modem.","D","For dedicated, symmetric access with high speed, a leased line is the suitable option."
"What is the purpose of having a converged network?","A) to provide high-speed connectivity to all end devices, B) to make sure that all types of data packets will be treated equally, C) to achieve fault tolerance and high availability of data network infrastructure devices, D) to reduce the cost of deploying and maintaining the communication infrastructure.","C","The purpose of a converged network is to achieve fault tolerance and high availability of data network infrastructure devices, allowing different types of data to travel over the same network while reducing infrastructure costs."
"What characteristic of a network enables it to quickly grow to support new users and applications without impacting the performance of the service being delivered to existing users?","A) reliability, B) scalability, C) quality of service, D) accessibility.","B","Scalability is the characteristic of a network that allows it to quickly grow to support new users and applications without impacting the performance of the service being delivered to existing users."
"After several configuration changes are made to a router, the copy running-configuration startup-configuration command is issued. Where will the changes be stored?","A) flash, B) ROM, C) NVRAM, D) RAM, E) the configuration register, F) a TFTP server.","C","When the 'copy running-configuration startup-configuration' command is issued on a router, the changes are stored in NVRAM, ensuring that they will persist across reboots."
"What are three characteristics of an SVI? (Choose three.)","A) It is designed as a security protocol to protect switch ports., B) It is not associated with any physical interface on a switch., C) It is a special interface that allows connectivity by different types of media., D) It is required to allow connectivity by any device at any location., E) It provides a means to remotely manage a switch., F) It is associated with VLAN1 by default.","B,C,E","Switch Virtual Interfaces (SVIs) are not associated with physical interfaces on a switch, they can allow connectivity by different types of media, and they provide a means to remotely manage a switch. They are not designed as security protocols, are not required for connectivity by any device at any location, and the association with VLAN1 by default is true for most switches but not a universal rule."
"What is the technician configuring with these commands on a switch? SwitchA(config)# interface vlan 1 SwitchA(config-if)# ip address 192.168.1.1 255.255.255.0 SwitchA(config-if)# no shutdown","A) Telnet access, B) SVI, C) password encryption, D) physical switchport access.","B","The technician is configuring a Switch Virtual Interface (SVI) to assign an IP address to the switch, allowing it to be managed remotely over the network."
"In computer communication, what is the purpose of message encoding?","A) to convert information to the appropriate form for transmission, B) to interpret information, C) to break large messages into smaller frames, D) to negotiate correct timing for successful communication.","A","Message encoding is the process of converting data into a suitable format for transmission over a network."
"What is a characteristic of multicast messages?","A) They are sent to a select group of hosts, B) They must be acknowledged, C) They are sent to a single destination, D) They are sent to all hosts on a network.","A","Multicast messages are sent to a select group of hosts that belong to a specific multicast group."
"A large corporation has modified its network to allow users to access network resources from their personal laptops and smartphones. Which networking trend does this describe?","A) bring your own device, B) video conferencing, C) online collaboration, D) cloud computing.","A","The trend of allowing users to access network resources from their personal devices such as laptops and smartphones is known as 'bring your own device' (BYOD)."
"True or False. A dedicated server is not needed when implementing a peer-to-peer network.","","","False","In a peer-to-peer network, there may not be a dedicated server, but devices can still share resources and data directly among themselves."
"Which term refers to a network that provides secure access to the corporate offices by suppliers, customers, and collaborators?","A) Internet, B) intranet, C) extranet, D) extendednet.","C","An extranet is a network that provides secure access to corporate offices by suppliers, customers, and collaborators. It extends network access to trusted external entities."
"What subnet mask is required to support 512 subnets on network 172.28.0.0/16?","A) 255.255.240.0, B) 255.255.255.224, C) 255.255.255.240, D) 255.255.255.128, E) 255.255.252.0.","A","A subnet mask of 255.255.240.0 (or /20) is required to support 512 subnets on network 172.28.0.0/16."
"A DHCP server is used to assign IP addresses dynamically to the hosts on a network. The address pool is configured with 10.29.244.0/25. There are 19 printers on this network that need to use reserved static IP addresses from the pool. How many IP addresses in the pool are left to be assigned to other hosts?","A) 210, B) 60, C) 109, D) 107, E) 146.","C","There are 109 IP addresses left in the pool to be assigned to other hosts, as 19 have been reserved for printers."
"What is a function of the data link layer?","A) provides the formatting of data, B) provides for the exchange of data over a common local media, C) provides end-to-end delivery of data between hosts, D) provides delivery of data between two applications.","B","The primary function of the data link layer is to provide for the exchange of data over a common local media."
"Which communication tool allows real-time collaboration?","A) wiki, B) e-mail, C) weblog, D) instant messaging.","D","Instant messaging allows real-time collaboration and communication between users."
"A host is accessing a Web server on a remote network. Which three functions are performed by intermediary network devices during this conversation? (Choose three.)","A) regenerating data signals, B) acting as a client or a server, C) providing a channel over which messages travel, D) applying security settings to control the flow of data, E) notifying other devices when errors occur, F) serving as the source or destination of the messages.","C,D,E","Intermediary network devices provide a channel for messages, apply security settings to control data flow, and notify other devices when errors occur during data communication."
"Port numbers ranging from 0 to 1023 are considered to be Well Known ports.","","","True","Port numbers from 0 to 1023 are indeed considered Well Known ports, which are used by many common network services and applications."
"ISOC, IANA, EIA, and IEEE represent standards organizations which help to promote and maintain an open Internet.","","","True","ISOC (Internet Society), IANA (Internet Assigned Numbers Authority), EIA (Electronic Industries Alliance), and IEEE (Institute of Electrical and Electronics Engineers) are organizations involved in developing and maintaining standards to promote an open Internet."
"An administrator is trying to configure the switch but receives the error message that is displayed in the exhibit. What is the problem?","A) The entire command, configure terminal, must be used., B) The administrator is already in global configuration mode., C) The administrator must first enter privileged EXEC mode before issuing the command., D) The administrator must connect via the console port to access global configuration mode.","B","The error message suggests that the administrator is already in global configuration mode. No further 'configure terminal' command is needed."
"A company is expanding its business to other countries. All branch offices must remain connected to corporate headquarters at all times. Which network technology is required to support this requirement?","A) LAN, B) MAN, C) WAN, D) WLAN.","C","To connect branch offices to corporate headquarters across different countries and ensure continuous connectivity, a Wide Area Network (WAN) is required."
"A network administrator is upgrading a small business network to give high priority to real-time applications traffic. What two types of network services is the network administrator trying to accommodate? (Choose two.)","A) SNMP, B) instant messaging, C) voice, D) FTP, E) video.","C,E","The network administrator is trying to accommodate real-time applications traffic, which includes services like voice and video. SNMP is not a real-time application, and FTP is typically not real-time."
"What IPv4 address can be pinged to test the internal TCP/IP operation of a host?","A) 0.0.0.0, B) 0.0.0.1, C) 127.0.0.1, D) 192.168.1.1, E) 255.255.255.255.","C","The IPv4 address 127.0.0.1, also known as the loopback address, can be pinged to test the internal TCP/IP operation of a host. It represents the host itself."
"What three application layer protocols are part of the TCP/IP protocol suite?","A) ARP, B) DHCP, C) DNS, D) FTP, E) NAT, F) PPP.","C,D,F","The three application layer protocols in the TCP/IP protocol suite are DNS (Domain Name System), FTP (File Transfer Protocol), and PPP (Point-to-Point Protocol)."
"Which two protocols function at the internet layer?","A) ARP, B) BOOTP, C) ICMP, D) IP, E) PPP.","C,D","The two protocols that function at the internet layer are ICMP (Internet Control Message Protocol) and IP (Internet Protocol)."
"Which publicly available resources describe protocols, processes, and technologies for the Internet but do not give implementation details?","A) Request for Comments, B) IRTF research papers, C) protocol models, D) IEEE standards.","A","Request for Comments (RFCs) are publicly available resources that describe protocols, processes, and technologies for the Internet without giving implementation details."
"Which address on a PC does not change, even if the PC is moved to a different network?","A) IP address, B) default gateway address, C) MAC address, D) logical address.","C","The MAC (Media Access Control) address on a PC does not change, even if the PC is moved to a different network. It is assigned to the network interface card (NIC) and is unique to each NIC."
"What is the protocol that is used to discover a physical address from a known logical address and what message type does it use?","A) ARP, multicast, B) DNS, unicast, C) DNS, broadcast, D) ARP, broadcast, E) PING, multicast, F) PING, broadcast.","D","The protocol used to discover a physical address from a known logical address is ARP (Address Resolution Protocol), and it uses broadcast messages."
"What will happen if the default gateway address is incorrectly configured on a host?","A) The host cannot communicate with other hosts in the local network., B) The switch will not forward packets initiated by the host., C) The host will have to use ARP to determine the correct address of the default gateway., D) The host cannot communicate with hosts in other networks., E) A ping from the host to 127.0.0.1 would not be successful.","D","If the default gateway address is incorrectly configured on a host, the host will not be able to communicate with hosts in other networks outside its local network."
"What is an important function of the physical layer of the OSI model?","A) It accepts frames from the physical media., B) It encapsulates upper layer data into frames., C) It defines the media access method performed by the hardware interface., D) It encodes frames into electrical, optical, or radio wave signals.","D","An important function of the physical layer in the OSI model is to encode frames into electrical, optical, or radio wave signals for transmission over the physical medium."
"Which two statements describe the characteristics of fiber-optic cabling?","A) Fiber-optic cabling does not conduct electricity., B) Fiber-optic cabling has high signal loss., C) Fiber-optic cabling is primarily used as backbone cabling., D) Multimode fiber-optic cabling carries signals from multiple sending devices., E) Fiber-optic cabling uses LEDs for single-mode cables and laser technology for multimode cables.","A,C","Fiber-optic cabling does not conduct electricity, and it is primarily used as backbone cabling in network infrastructure."
"What is contained in the trailer of a data-link frame?","A) logical address, B) physical address, C) data, D) error detection.","D","The trailer of a data-link frame typically contains error detection information, such as a checksum or CRC (Cyclic Redundancy Check), for ensuring data integrity during transmission."
"How does a Layer 3 switch differ from a Layer 2 switch?","A) A Layer 3 switch supports VLANs, but a Layer 2 switch does not., B) An IP address can be assigned to a physical port of a Layer 3 switch. However, this is not supported in Layer 2 switches., C) A Layer 3 switch maintains an IP address table instead of a MAC address table., D) A Layer 3 switch learns the MAC addresses that are associated with each of its ports. However, a Layer 2 switch does not.","B","A Layer 3 switch allows IP addresses to be assigned to its physical ports, whereas a Layer 2 switch does not support this feature."
"What is the purpose of the routing process?","A) to encapsulate data that is used to communicate across a network, B) to select the paths that are used to direct traffic to destination networks, C) to convert a URL name into an IP address, D) to provide secure Internet file transfer, E) to forward traffic on the basis of MAC addresses.","B","The purpose of the routing process is to select the paths that are used to direct traffic to destination networks."
"Which technology provides a solution to IPv4 address depletion by allowing multiple devices to share one public IP address?","A) ARP, B) DNS, C) NAT, D) SMB, E) DHCP, F) HTTP.","C","Network Address Translation (NAT) provides a solution to IPv4 address depletion by allowing multiple devices within a private network to share a single public IP address for internet communication."
"Which of the following are primary functions of a router? (Choose two.)","A) packet switching, B) microsegmentation, C) domain name resolution, D) path selection, E) flow control.","D,A","The primary functions of a router include path selection (routing packets to their destination) and packet switching (forwarding packets between networks)."
"Which two statements correctly describe a router memory type and its contents? (Choose two.)","A) ROM is nonvolatile and contains basic diagnostic software., B) FLASH is nonvolatile and contains a limited portion of the IOS​., C) ROM is nonvolatile and stores the running IOS., D) RAM is volatile and stores the IP routing table., E) NVRAM is nonvolatile and stores other system files.","A,B","ROM (Read-Only Memory) is nonvolatile and contains basic diagnostic software. FLASH memory is nonvolatile and contains a limited portion of the IOS (Internetwork Operating System)."
"In which default order will a router search for startup configuration information?","A) NVRAM, RAM, TFTP, B) NVRAM, TFTP, setup mode, C) setup mode, NVRAM, TFTP, D) TFTP, ROM, NVRAM, E) flash, ROM, setup mode.","B","A router searches for startup configuration information in the following default order: NVRAM, TFTP (Trivial File Transfer Protocol), and then setup mode."
"What happens when part of an Internet VoIP transmission is not delivered to the destination?","A) A delivery failure message is sent to the source host., B) The part of the VoIP transmission that was lost is re-sent., C) The entire transmission is re-sent., D) The transmission continues without the missing portion.","D","When part of an Internet VoIP transmission is not delivered to the destination, the transmission continues without the missing portion. VoIP is designed to handle packet loss and can adapt to varying network conditions."
"Which three IP addresses are private? (Choose three.)","A) 10.172.168.1, B) 172.32.5.2, C) 192.167.10.10, D) 172.20.4.4, E) 192.168.5.254, F) 224.6.6.6.","A,D,E","The three private IP address ranges are: A) 10.0.0.0 to 10.255.255.255, B) 172.16.0.0 to 172.31.255.255, and C) 192.168.0.0 to 192.168.255.255."
"How many bits make up the single IPv6 hextet :10CD:?","A) 4, B) 8, C) 16, D) 32.","B","In IPv6, each hextet consists of 4 hexadecimal digits, which is equivalent to 16 bits."
"What is the effect of configuring the ipv6 unicast-routing command on a router?","A) to assign the router to the all-nodes multicast group, B) to enable the router as an IPv6 router, C) to permit only unicast packets on the router, D) to prevent the router from joining the all-routers multicast group.","B","Configuring the 'ipv6 unicast-routing' command on a router enables the router to function as an IPv6 router, allowing it to route IPv6 packets."
"Which group of IPv6 addresses cannot be allocated as a host source address?","A) FEC0::/10?, B) FDFF::/7?, C) FEBF::/10?, D) FF00::/8","D","The IPv6 address range FF00::/8 is reserved for multicast addresses and cannot be allocated as a host source address."
"What is the purpose of ICMP messages?","A) to inform routers about network topology changes, B) to ensure the delivery of an IP packet, C) to provide feedback of IP packet transmissions, D) to monitor the process of a domain name to IP address resolution.","C","ICMP (Internet Control Message Protocol) messages are used to provide feedback about IP packet transmissions, including error messages, such as destination unreachable or time exceeded."
"A network administrator needs to monitor network traffic to and from servers in a data center. Which features of an IP addressing scheme should be applied to these devices?","A) random static addresses to improve security, B) addresses from different subnets for redundancy, C) predictable static IP addresses for easier identification, D) dynamic addresses to reduce the probability of duplicate addresses.","C","To facilitate network monitoring and management, servers in a data center should be assigned predictable static IP addresses for easier identification and management."
"Which two notations are useable nibble boundaries when subnetting in IPv6? (Choose two.)","A) /62, B) /64, C) /66, D) /68, E) /70.","B,D","In IPv6 subnetting, the notations /64 and /68 are usable nibble boundaries for subnetting."
"A host PC has just booted and is attempting to lease an address through DHCP. Which two messages will the client typically broadcast on the network? (Choose two.)","A) DHCPDISCOVER, B) DHCPOFFER, C) DHCPREQUEST, D) DHCPACK, E) DHCPNACK.","A,C","When a host PC boots and attempts to lease an address through DHCP, it typically broadcasts DHCPDISCOVER to discover available DHCP servers and then broadcasts DHCPREQUEST to request an address from one of the servers."
"What is the purpose of the network security accounting function?","A) to require users to prove who they are, B) to determine which resources a user can access, C) to keep track of the actions of a user, D) to provide challenge and response questions.","C","The purpose of the network security accounting function is to keep track of the actions of a user, which can be used for auditing and security monitoring purposes."
"What two preconfigured settings that affect security are found on most new wireless routers? (Choose two.)","A) broadcast SSID, B) MAC filtering enabled, C) WEP encryption enabled, D) PSK authentication required, E) default administrator password.","A,E","Most new wireless routers come with the broadcast SSID (Service Set Identifier) enabled by default, and they often have a default administrator password set. These settings can affect the security of the wireless network."
"Which type of wireless security generates dynamic encryption keys each time a client associates with an AP?","A) EAP, B) PSK, C) WEP, D) WPA.","A","EAP (Extensible Authentication Protocol) generates dynamic encryption keys each time a client associates with an Access Point (AP) for wireless security."
"Fill in the blank. TFTP is a best-effort, connectionless application layer protocol that is used to transfer files.","TFTP is a best-effort, connectionless application layer protocol that is used to transfer files. It is often used for simple file transfers in network environments."
"Which two components are necessary for a wireless client to be installed on a WLAN? (Choose two.)","A) media, B) wireless NIC, C) custom adapter, D) crossover cable, E) wireless bridge, F) wireless client software.","B,F","To be installed on a Wireless Local Area Network (WLAN), a wireless client needs a wireless Network Interface Card (NIC) and wireless client software for communication."
"Consider the following range of addresses: 2001:0DB8:BC15:00A0:0000:: 2001:0DB8:BC15:00A1:0000:: 2001:0DB8:BC15:00A2:0000:: … 2001:0DB8:BC15:00AF:0000:: The prefix-length for the range of addresses is /60","The prefix-length for the given range of IPv6 addresses is /60. This means that the first 60 bits are used for the network portion of the address, and the remaining bits are available for host addresses."
"A host is accessing an FTP server on a remote network. Which three functions are performed by intermediary network devices during this conversation? (Choose three.)","A) regenerating data signals, B) acting as a client or a server, C) providing a channel over which messages travel, D) applying security settings to control the flow of data, E) notifying other devices when errors occur, F) serving as the source or destination of the messages.","C,D,E","Intermediary network devices in this FTP conversation would primarily perform the functions of providing a channel for data transfer, applying security settings (such as access control), and notifying other devices when errors occur."
"When is a dial-up connection used to connect to an ISP?","A) when a cellular telephone provides the service, B) when a high-speed connection is provided over a cable TV network, C) when a satellite dish is used, D) when a regular telephone line is used.","D","A dial-up connection is typically used when a regular telephone line (analog or digital) is used to connect to an Internet Service Provider (ISP)."
"On a school network, students are surfing the web, searching the library database, and attending an audio conference with their sister school in Japan. If network traffic is prioritized with QoS, how will the traffic be classified from highest priority to lowest priority?","A) audio conference, database, HTTP, B) database, HTTP, audio conference, C) audio conference, HTTP, database, D) database, audio conference, HTTP.","C","In a QoS (Quality of Service) prioritization scheme, audio conference traffic is typically given the highest priority, followed by HTTP (web) traffic, and then database traffic, from highest to lowest."
"During normal operation, from which location do most Cisco routers run the IOS?","A) RAM, B) flash, C) NVRAM, D) disk drive.","B","During normal operation, most Cisco routers run the IOS (Internetwork Operating System) from flash memory."
"Which keys act as a hot key combination that is used to interrupt an IOS process?","A) Ctrl-Shift-X, B) Ctrl-Shift-6, C) Ctrl-Z, D) Ctrl-C.","D","Ctrl-C is the hotkey combination used to interrupt an IOS (Internetwork Operating System) process."
"A technician uses the ping 127.0.0.1 command. What is the technician testing?","The technician is testing the loopback functionality of the TCP/IP stack on the local network host. Pinging 127.0.0.1 is a way to check if the host's network stack is operational."
"Which device should be used for enabling a host to communicate with another host on a different network?","A) switch, B) hub, C) router, D) host.","C","A router is used to enable a host to communicate with another host on a different network by routing data between different networks."
"A network technician is measuring the transfer of bits across the company backbone for a mission critical application. The technician notices that the network throughput appears lower than the bandwidth expected. Which three factors could influence the differences in throughput? (Choose three.)","A) the amount of traffic that is currently crossing the network, B) the sophistication of the encapsulation method applied to the data, C) the type of traffic that is crossing the network, D) the latency that is created by the number of network devices that the data is crossing, E) the bandwidth of the WAN connection to the Internet, F) the reliability of the gigabit Ethernet infrastructure of the backbone.","A,C,D","Several factors can influence network throughput, including the amount and type of traffic, latency caused by network devices, and the characteristics of the WAN connection."
"Which characteristics describe fiber optic cable? (Choose two.)","A) It is not affected by EMI or RFI, B) Each pair of cables is wrapped in metallic foil, C) It combines the technique of cancellation, shielding, and twisting to protect data, D) It has a maximum speed of 100 Mbps, E) It is the most expensive type of LAN cabling.","A,E","Fiber optic cable is not affected by EMI or RFI interference and can support high speeds, but it is generally more expensive than other types of LAN cabling."
"What are two features of a physical, star network topology? (Choose two.)","A) It is straightforward to troubleshoot, B) End devices are connected together by a bus, C) It is easy to add and remove end devices, D) All end devices are connected in a chain to each other, E) Each end system is connected to its respective neighbor.","A,C","A physical star network topology is straightforward to troubleshoot, and it is easy to add or remove end devices without affecting the rest of the network."
"A frame is transmitted from one networking device to another. Why does the receiving device check the FCS field in the frame?","The receiving device checks the Frame Check Sequence (FCS) field in the frame to check the frame for possible transmission errors. The FCS is used to detect errors in the frame's data during transmission."
"What will a Layer 2 switch do when the destination MAC address of a received frame is not in the MAC table?","When the destination MAC address of a received frame is not in the MAC table, a Layer 2 switch will broadcast the frame out of all ports on the switch. This is known as a broadcast storm."
"Which parameter does the router use to choose the path to the destination when there are multiple routes available?","The router uses the lower metric value that is associated with the destination network to choose the path when there are multiple routes available. A lower metric value indicates a preferred route."
"Which two statements describe the functions or characteristics of ROM in a router? (Choose two.)","A) stores routing tables, B) allows software to be updated without replacing pluggable chips on the motherboard, C) maintains instructions for POST diagnostics, D) holds ARP cache, E) stores bootstrap program.","B,C","ROM in a router maintains instructions for POST (Power-On Self-Test) diagnostics and holds the bootstrap program. It does not store routing tables, and updating software typically involves replacing pluggable chips on the motherboard."
"Which statement describes a characteristic of the Cisco router management ports?","A console port is not used for packet forwarding. Serial and DSL interfaces are types of management ports. Each Cisco router has an LED indicator to provide information about the status of the management ports."
"What happens when part of an Internet radio transmission is not delivered?","When part of an Internet radio transmission is not delivered, the transmission continues without the missing portion. Internet audio and video streams typically use techniques such as buffering to handle occasional packet loss."
"What types of addresses make up the majority of addresses within the /8 block IPv4 bit space?","The majority of addresses within the /8 block IPv4 bit space are public addresses. Public addresses are used for devices connected to the global Internet."
"A company has a network address of 192.168.1.64 with a subnet mask of 255.255.255.192. The company wants to create two subnetworks that would contain 10 hosts and 18 hosts respectively. Which two networks would achieve that? (Choose two.)","A) 192.168.1.16/28, B) 192.168.1.64/27, C) 192.168.1.128/27, D) 192.168.1.96/28, E) 192.168.1.192/28.","A,B","Subnet A (192.168.1.16/28) can have 10 hosts, and Subnet B (192.168.1.64/27) can have 18 hosts. These subnet masks provide the required number of host addresses for each subnet."
"In a network that uses IPv4, what prefix would best fit a subnet containing 100 hosts?","To accommodate 100 hosts in an IPv4 subnet, a /25 prefix would be needed. A /25 subnet provides 128 host addresses, which can accommodate 100 hosts."
"Which protocol supports rapid delivery of streaming media?","Real-Time Transport Protocol (RTP) supports the rapid delivery of streaming media. RTP is designed for real-time multimedia communication and is commonly used for streaming audio and video over the Internet."
"Why would a network administrator use the tracert utility?","A) to determine the active TCP connections on a PC, B) to check information about a DNS name in the DNS server, C) to identify where a packet was lost or delayed on a network, D) to display the IP address, default gateway, and DNS server address for a PC.","C","The tracert utility is used to identify where a packet was lost or delayed on a network by tracing its route through intermediate routers."
"Which WLAN security protocol generates a new dynamic key each time a client establishes a connection with the AP?","EAP","EAP (Extensible Authentication Protocol) generates a new dynamic key each time a client establishes a connection with the Access Point (AP)."
"Fill in the blank.","Point-to-point communications where both devices can transmit and receive on the medium at the same time are known as full-duplex.","full-duplex","Full-duplex communication allows both devices to transmit and receive simultaneously on the medium."
"A host is accessing a Telnet server on a remote network. Which three functions are performed by intermediary network devices during this conversation? (Choose three.)","C) providing a channel over which messages travel, D) applying security settings to control the flow of data, E) notifying other devices when errors occur.","C,D,E","Intermediary network devices provide a channel for messages, apply security settings, and notify other devices when errors occur during a Telnet session."
"Three office workers are using the corporate network. If QoS is implemented on this network, what will be the priorities from highest to lowest of the different data types?","B) financial transactions, web page, audio conference","B","In a network with QoS (Quality of Service) implemented, the highest priority is typically given to financial transactions, followed by web pages and then audio conferences."
"During normal operation, from which location do most Cisco switches and routers run the IOS?","RAM","During normal operation, most Cisco switches and routers run the IOS (Internetwork Operating System) from RAM (Random Access Memory)."
"A network administrator is making changes to the configuration of a router. After making the changes and verifying the results, the administrator issues the copy running-config startup-config command. What will happen after this command executes?","The configuration will be saved to non-volatile NVRAM and will load when the router is restarted.","","The copy running-config startup-config command saves the current configuration to non-volatile NVRAM, and the saved configuration will load when the router is restarted."
"What information does the loopback test provide?","The device has end-to-end connectivity.","","A loopback test checks if the device has end-to-end connectivity. It is often used to verify the functionality of the network interface card (NIC)."
"What happens when a switch receives a frame and the calculated CRC value is different than the value that is in the FCS field?","The switch drops the frame.","","When a switch receives a frame with a CRC error, it drops the frame."
"Which destination address is used in an ARP request frame?","FFFF.FFFF.FFFF","FFFF.FFFF.FFFF is the broadcast MAC address used in an ARP request frame."
"What is the auto-MDIX feature on a switch?","the automatic configuration of an interface for a straight-through or a crossover Ethernet cable connection","","Auto-MDIX is a feature on switches that allows automatic configuration of an interface for either a straight-through or a crossover Ethernet cable connection."
"What are the two main components of Cisco Express Forwarding (CEF)? (Choose two.)","A) adjacency tables, E) forwarding information base (FIB)","","The two main components of Cisco Express Forwarding (CEF) are adjacency tables and the forwarding information base (FIB)."
"Which statement describes the sequence of processes executed by a router when it receives a packet from a host to be delivered to a host on another network?","It de-encapsulates the packet, selects the appropriate path, and encapsulates the packet to forward it toward the destination host","B","When a router receives a packet from a host destined for another network, it de-encapsulates the packet, selects the appropriate path, and then encapsulates the packet to forward it toward the destination host on the selected path."
"What happens when part of an Internet television transmission is not delivered to the destination?","The transmission continues without the missing portion.","D","In Internet television transmissions, if part of the data is lost or not delivered to the destination, the transmission typically continues without the missing portion."
"Which three statements characterize the transport layer protocols? (Choose three.)","A) TCP and UDP port numbers are used by application layer protocols, B) TCP uses port numbers to provide reliable transportation of IP packets, D) TCP uses windowing and sequencing to provide reliable transfer of data.","A,B,D","Transport layer protocols such as TCP and UDP use port numbers for various purposes, including identifying application layer protocols, providing reliable transport, and managing data transfer using mechanisms like windowing and sequencing."
"Which statement is true regarding the UDP client process during a session with a server?","Datagrams that arrive in a different order than that in which they were sent are not placed in order.","A","In UDP, datagrams are not guaranteed to arrive in the same order in which they were sent. The receiver does not reorder them."
"Which two components are configured via software in order for a PC to participate in a network environment? (Choose two.)","IP address, subnet mask","B,E","A PC needs to be configured with an IP address and a subnet mask to participate in a network environment. These configurations are typically done via software settings."
"Which two reasons generally make DHCP the preferred method of assigning IP addresses to hosts on large networks? (Choose two.)","A) It eliminates most address configuration errors, E) It reduces the burden on network support staff.","A,E","Dynamic Host Configuration Protocol (DHCP) is preferred for large networks because it helps eliminate address configuration errors and reduces the burden on network support staff by automating IP address assignment."
"What is the subnet address for the address 2001:DB8:BC15:A:12AB::1/64?","2001:DB8:BC15:A::","A","The subnet address for the IPv6 address 2001:DB8:BC15:A:12AB::1/64 is 2001:DB8:BC15:A::."
"What is the purpose of the network security authentication function?","to require users to prove who they are","A","Network security authentication function is designed to require users to prove their identity before accessing network resources."
