Question;Options;Correct Answer;Explanation;ImagePath;;
68. Refer to the exhibit. Which command will properly configure an IPv6 static route on R2 that will allow traffic from PC2 to reach PC1 without any recursive lookups by router R2?;A) R2(config)# ipv6 route 2001:db8:10:12::/64 2001:db8:32::1, B) R2(config)# ipv6 route 2001:db8:10:12::/64 S0/0/0, C) R2(config)# ipv6 route ::/0 2001:db8:32::1, D) R2(config)# ipv6 route 2001:db8:10:12::/64 S0/0/1;A;A nonrecursive route must have an exit interface specified from which the destination network can be reached. In this example 2001:db8:10:12::/64 is the destination network and R2 will use exit interface S0/0/0 to reach that network. Therefore, the static route would be ipv6 route 2001:db8:10:12::/64 S0/0/0.;;;
69. Which network design may be recommended for a small campus site that consists of a single building with a few users?;A) a network design where the access and distribution layers are collapsed into a single layer, B) a network design where the access and core layers are collapsed into a single layer, C) a collapsed core network design, D) a three-tier campus network design where the access, distribution, and core are all separate layers, each one with very specific functions;A;In some cases, maintaining a separate distribution and core layer is not required. In smaller campus locations where there are fewer users who are accessing the network or in campus sites that consist of a single building, separate core and distribution layers may not be needed. In this scenario, the recommendation is the alternate two-tier campus network design, also known as the collapsed core network design.;;;
70. Which information does a switch use to keep the MAC address table information current?;A) the destination MAC address and the incoming port, B) the destination MAC address and the outgoing port, C) the source and destination MAC addresses and the incoming port, D) the source and destination MAC addresses and the outgoing port;C;To maintain the MAC address table, the switch uses the source MAC address of the incoming packets and the port that the packets enter. The destination address is used to select the outgoing port.;;;
71. Which advantage does the store-and-forward switching method have compared with the cut-through switching method?;A) collision detecting, B) frame error checking, C) faster frame forwarding, D) frame forwarding using IPv4 Layer 3 and 4 information;B;A switch using the store-and-forward switching method performs an error check on an incoming frame by comparing the FCS value against its own FCS calculations after the entire frame is received. In comparison, a switch using the cut-through switching method makes quick forwarding decisions and starts the forwarding process without waiting for the entire frame to be received. Thus a switch using cut-through switching may send invalid frames to the network. The performance of store-and-forward switching is slower compared to cut-through switching performance. Collision detection is monitored by the sending device. Store-and-forward switching does not use IPv4 Layer 3 and 4 information for its forwarding decisions.;;;
72. Which characteristic describes cut-through switching?;A) Frames are forwarded without any error checking, B) Error-free fragments are forwarded, so switching occurs with lower latency, C) Buffering is used to support different Ethernet speeds, D) Only outgoing frames are checked for errors;A;Cut-through switching reduces latency by forwarding frames as soon as the destination MAC address and the corresponding switch port are read from the MAC address table. This switching method does not perform any error checking and does not use buffers to support different Ethernet speeds. Error checking and buffers are characteristics of store-and-forward switching.;;;
73. What is a result of connecting two or more switches together?;A) The number of broadcast domains is increased, B) The size of the broadcast domain is increased, C) The number of collision domains is reduced, D) The size of the collision domain is increased;A;When two or more switches are connected together, the size of the broadcast domain is increased and so is the number of collision domains. The number of broadcast domains is increased only when routers are added.;;;
74. Which commands are used to re-enable a port that has been disabled as a result of a port security violation?;A) shutdown, B) no shutdown, C) shutdown, D) no switchport port-security, E) shutdown, F) no switchport port-security violation shutdown, G) shutdown, H) no switchport port-security maximum;B;When a switch security violation occurs, by default the port enters in the error-disable state and the port does not become active again automatically if the condition that triggered the violation disappears.;;;
75. Which two characteristics describe the native VLAN? (Choose two.);A) Designed to carry traffic that is generated by users, this type of VLAN is also known as the default VLAN, B) The native VLAN traffic will be untagged across the trunk link, C) This VLAN is necessary for remote management of a switch, D) High-priority traffic, such as voice traffic, uses the native VLAN, E) The native VLAN provides a common identifier to both ends of a trunk;A,B;The native VLAN is assigned to 802.1Q trunks to provide a common identifier to both ends of the trunk link. Whatever VLAN native number is assigned to a port, or if the port is the default VLAN of 1, the port does not tag any frame in that VLAN as the traffic travels across the trunk. At the other end of the link, the receiving device that sees no tag knows the specific VLAN number because the receiving device must have the exact native VLAN number. The native VLAN should be an unused VLAN that is distinct from VLAN1, the default VLAN, as well as other VLANs. Data VLANs, also known as user VLANs, are configured to carry user-generated traffic, with the exception of high-priority traffic, such as VoIP. Voice VLANs are configured for VoIP traffic. The management VLAN is configured to provide access to the management capabilities of a switch.;;;
76. Which type of traffic is designed for a native VLAN?;A) management, B) user-generated, C) tagged, D) untagged;D;A native VLAN carries untagged traffic, which is traffic that does not come from a VLAN. A data VLAN carries user-generated traffic. A management VLAN carries management traffic.;;;
77. An administrator is trying to remove configurations from a switch. After using the command erase startup-config and reloading the switch, the administrator finds that VLANs 10 and 100 still exist on the switch. Why were these VLANs not removed?;A) These VLANs are default VLANs that cannot be removed, B) These VLANs cannot be deleted unless the switch is in VTP client mode, C) These VLANs can only be removed from the switch by using the no vlan 10 and no vlan 100 commands, D) Because these VLANs are stored in a file that is called vlan.dat that is located in flash memory, this file must be manually deleted.;D;Standard range VLANs (1-1005) are stored in a file that is called vlan.dat that is located in flash memory. Erasing the startup configuration and reloading a switch does not automatically remove these VLANs. The vlan.dat file must be manually deleted from flash memory and then the switch must be reloaded.;;;
78. Refer to the exhibit. Inter-VLAN communication between VLAN 10, VLAN 20, and VLAN 30 is not successful. What is the problem?;A) The access interfaces do not have IP addresses and each should be configured with an IP address, B) The switch interface FastEthernet0/1 is configured as an access interface and should be configured as a trunk interface, C) The switch interface FastEthernet0/1 is configured to not negotiate and should be configured to negotiate., D) The switch interfaces FastEthernet0/2, FastEthernet0/3, and FastEthernet0/4 are configured to not negotiate and should be configured to negotiate.;B;To forward all VLANs to the router, the switch interface Fa0/1 must be configured as a trunk interface with the switchport mode trunk command.;;;
79. A network administrator is configuring an ACL with the command access-list 10 permit 172.16.32.0 0.0.15.255. Which IPv4 address matches the ACE?;A) 172.16.20.2, B) 172.16.26.254, C) 172.16.36.255, D) 172.16.47.254, E) 172.16.48.5;C;With the wildcard mask of 0.0.15.255, the IPv4 addresses that match the ACE are in the range of 172.16.32.0 to 172.16.47.255.;;;
80. Refer to the exhibit. A PC at address 10.1.1.45 is unable to access the Internet. What is the most likely cause of the problem?;A) The NAT pool has been exhausted., B) The wrong netmask was used on the NAT pool., C) Access-list 1 has not been configured properly., D) The inside and outside interfaces have been configured backwards.;A;The output of show ip nat statistics shows that there are 2 total addresses and that 2 addresses have been allocated (100%). This indicates that the NAT pool is out of global addresses to give new clients. Based on the show ip nat translations, PCs at 10.1.1.33 and 10.1.1.123 have used the two available addresses to send ICMP messages to a host on the outside network.;;;
81. A network administrator is verifying a configuration that involves network monitoring. What is the purpose of the global configuration command logging trap 4?;A) System messages will be forwarded to the number following the logging trap argument., B) System messages that exist in levels 4-7 must be forwarded to a specific logging server., C) System messages that match logging levels 0-4 will be forwarded to a specified logging device., D) System messages will be forwarded using a SNMP version that matches the argument that follows the logging trap command.;C;System messages that match logging levels 0-4 will be forwarded to a specified logging device via the command logging trap 4 and logging ip-address.;;;
82. What is indicated by the M in the Cisco IOS image name c1900-universalk9-mz.SPA.153-3.M.bin?;A) a maintenance deployment release, B) a minor release, C) a mainline release, D) an extended maintenance release;D;The file name c1900-universalk9-mz.SPA.153-3.M.bin indicates a version of Cisco IOS that includes the major release, minor release, maintenance release, and maintenance rebuild numbers. The M indicates this is an extended maintenance release.;;;
83. Refer to the exhibit. A network engineer is preparing to upgrade the IOS system image on a Cisco 2901 router. Based on the output shown, how much space is available for the new image?;A) 25574400 bytes, B) 249856000 bytes, C) 221896413 bytes, D) 33591768 bytes;C;There are 221896413 bytes of space available in flash for the new image according to the line '[33847587 bytes used, 221896413 available, 255744000 total]' from the output.;;;
84. Refer to the exhibit. Based on the exhibited configuration and output, what are two reasons VLAN 99 missing? (Choose two.);A) because there is a cabling problem on VLAN 99, B) because VLAN 99 is not a valid management VLAN, C) because VLAN 1 is up and there can only be one management VLAN on the switch, D) because VLAN 99 needs to be entered as a VLAN under an interface before it can become an active interface, E) because the VLAN 99 has not been manually entered into the VLAN database with the vlan 99 command;B,D;VLAN 99 was not manually created on switch Sw1. When a VLAN interface is created, the VLAN is not automatically populated into the VLAN database.;;;
85. Order the DHCP process steps. (Not all options are used.);A) DHCPREQUEST (broadcast) –> Step 3, B) DHCPACK (broadcast) –> (empty), C) DHCPACK (unicast) –> Step 4, D) DHCPOFFER (unicast) –> Step 2, E) DHCPDISCOVER (broadcast) –> Step 1;E,D,A,C;The correct order of DHCP process steps is: DHCPDISCOVER (broadcast) –> DHCPOFFER (unicast) –> DHCPREQUEST (broadcast) –> DHCPACK (unicast).;;;
86. Refer to the exhibit. Assuming that the routing tables are up to date and no ARP messages are needed, after a packet leaves H1, how many times is the L2 header rewritten in the path to H3?;A) 1, B) 2, C) 3, D) 4, E) 5, F) 6;C;H1 creates the first Layer 2 header. The R1 router has to examine the destination IP address to determine how the packet is to be routed. If the packet is to be routed out another interface, as is the case with R1, the router strips the current Layer 2 header and attaches a new Layer 2 header. When R2 determines that the packet is to be sent out the LAN interface, R2 removes the Layer 2 header received from the serial link and attaches a new Ethernet header before transmitting the packet.;;;
87. Refer to the exhibit. Which highlighted value represents a specific destination network in the routing table?;A) 0.0.0.0, B) 172.16.100.64, C) 172.16.100.2, D) 110, E) 791;B;172.16.100.64 is a destination network. 110 is the administrative distance used by default for the OSPF routing protocol. 791 is the calculated OSPF metric. 172.16.100.2 represents the next-hop IP address used to reach the 172.16.100.64 network. 0.0.0.0 is the default route used to send packets when a destination network is not listed in the routing table.;;;
88. On which two routers would a default static route be configured? (Choose two.);A) stub router connection to the rest of the corporate or campus network, B) any router where a backup route to dynamic routing is needed for reliability, C) edge router connection to the ISP, D) any router running an IOS prior to 12.0, E) the router that serves as the gateway of last resort;A,B;A stub router or an edge router connected to an ISP has only one other router as a connection. A default static route works in those situations because all traffic will be sent to one destination. The destination router is the gateway of last resort. The default route is not configured on the gateway, but on the router sending traffic to the gateway. The router IOS does not matter.;;;
89. The exhibit shows two PCs called PC A and PC B, two routes called R1 and R2, and two switches. PC A has the address 172.16.1.1/24 and is connected to a switch and into an interface on R1 that has the IP address 172.16.1.254. PC B has the address 172.16.2.1/24 and is connected to a switch that is connected to another interface on R1 with the IP address 172.16.2.254. The serial interface on R1 has the address 172.16.3.1 and is connected to the serial interface on R2 that has the address 172.16.3.2/24. R2 is connected to the internet cloud. Which command will create a static route on R2 in order to reach PC B?;A) R2(config)# ip route 172.16.2.1 255.255.255.0 172.16.3.1, B) R2(config)# ip route 172.16.2.0 255.255.255.0 172.16.2.254, C) R2(config)# ip route 172.16.2.0 255.255.255.0 172.16.3.1, D) R2(config)# ip route 172.16.3.0 255.255.255.0 172.16.2.254;C;The correct syntax is: router(config)# ip route destination-network destination-mask {next-hop-ip-address | exit-interface} If the local exit interface instead of the next-hop IP address is used then the route will be displayed as a directly connected route instead of a static route in the routing table. Because the network to be reached is 172.16.2.0 and the next-hop IP address is 172.16.3.1, the command is R2(config)# ip route 172.16.2.0 255.255.255.0 172.16.3.1;;;
90. Refer to the exhibit. R1 was configured with the static route command ip route 209.165.200.224 255.255.255.224 S0/0/0 and consequently users on network 172.16.0.0/16 are unable to reach resources on the Internet. How should this static route be changed to allow user traffic from the LAN to reach the Internet?;A) Add an administrative distance of 254., B) Change the destination network and mask to 0.0.0.0 0.0.0.0, C) Change the exit interface to S0/0/1., D) Add the next-hop neighbor address of 209.165.200.226.;B;The static route on R1 has been incorrectly configured with the wrong destination network and mask. The correct destination network and mask is 0.0.0.0 0.0.0.0.;;;
91. Refer to the exhibit. Router R1 has an OSPF neighbor relationship with the ISP router over the 192.168.0.32 network. The 192.168.0.36 network link should serve as a backup when the OSPF link goes down. The floating static route command ip route 0.0.0.0 0.0.0.0 S0/0/1 100 was issued on R1 and now traffic is using the backup link even when the OSPF link is up and functioning. Which change should be made to the static route command so that traffic will only use the OSPF link when it is up??;A) Add the next hop neighbor address of 192.168.0.36., B) Change the administrative distance to 1., C) Change the destination network to 192.168.0.34., D) Change the administrative distance to 120.;D;The problem with the current floating static route is that the administrative distance is set too low. The administrative distance will need to be higher than that of OSPF, which is 110, so that the router will only use the OSPF link when it is up.;;;
92. Refer to the exhibit. All hosts and router interfaces are configured correctly. Pings to the server from both H1 and H2 and pings between H1 and H2 are not successful. What is causing this problem?;A) RIPv2 does not support VLSM., B) RIPv2 is misconfigured on router R1., C) RIPv2 is misconfigured on router R2., D) RIPv2 is misconfigured on router R3., E) RIPv2 does not support discontiguous networks.;C;RIP configuration on a router should contain network statements for connected networks only. Remote networks are learned from routing updates from other routers.;;;
93. What caused the following error message to appear?01:11:12: %PM-4-ERR_DISABLE: psecure-violation error detected on Fa0/8, putting Fa0/8 in err-disable state01:11:12: %PORT_SECURITY-2-PSECURE_VIOLATION: Security violation occurred, caused by MAC address 0011.a0d4.12a0 on port FastEthernet0/8.01:11:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/8, changed state to down01:11:14: %LINK-3-UPDOWN: Interface FastEthernet0/8, changed state to down;A) Another switch was connected to this switch port with the wrong cable., B) An unauthorized user tried to telnet to the switch through switch port Fa0/8., C) NAT was enabled on a router, and a private IP address arrived on switch port Fa0/8., D) A host with an invalid IP address was connected to a switch port that was previously unused., E) Port security was enabled on the switch port, and an unauthorized connection was made on switch port Fa0/8.;E;Port security was enabled on the switch port, and an unauthorized connection was made on switch port Fa0/8.;;;
94. Refer to the exhibit. A small business uses VLANs 2, 3, 4, and 5 between two switches that have a trunk link between them. What native VLAN should be used on the trunk if Cisco best practices are being implemented?;A) 1, B) 2, C) 3, D) 4, E) 5, F) 6, Explain: Cisco recommends using a VLAN that is not used for anything else for the native VLAN. The native VLAN should also not be left to the default of VLAN 1. VLAN 6 is the only VLAN that is not used and not VLAN 1.;E;;;;
95. Which statement describes a characteristic of the extended range VLANs that are created on a Cisco 2960 switch? They are numbered VLANs 1002 to 1005. They cannot be used across multiple switches. They are reserved to support Token Ring VLANs. They are not stored in the vlan.dat file. Explain: The extended range VLANs are identified by VLAN ID 1006 to 4096. By default, they are saved in the running-config file, not in the vlan.dat file. VLANs 1002 to 1005 are reserved to support Token Ring and FDDI VLANs. The extended range VLANs can be manually configured on multiple switches.;D;;;;;
96. A network administrator is using the router-on-a-stick method to configure inter-VLAN routing. Switch port Gi1/1 is used to connect to the router. Which command should be entered to prepare this port for the task? Switch(config)# interface gigabitethernet 1/1 Switch(config-if)# spanning-tree vlan 1 Switch(config)# interface gigabitethernet 1/1 Switch(config-if)# spanning-tree portfast Switch(config)# interface gigabitethernet 1/1 Switch(config-if)# switchport mode trunk Switch(config)# interface gigabitethernet 1/1 Switch(config-if)# switchport access vlan 1 Explain: With the router-on-a-stick method, the switch port that connects to the router must be configured as trunk mode. This can be done with the command Switch(config-if)# switchport mode trunk. The other options do not put the switch port into trunk mode.;C;;;;;
97. What will be the result of adding the command ip dhcp excluded-address 172.16.4.1 172.16.4.5 to the configuration of a local router that has been configured as a DHCP server? Traffic that is destined for 172.16.4.1 and 172.16.4.5 will be dropped by the router. Traffic will not be routed from clients with addresses between 172.16.4.1 and 172.16.4.5. The DHCP server function of the router will not issue the addresses from 172.16.4.1 through 172.16.4.5 inclusive. The router will ignore all traffic that comes from the DHCP servers with addresses 172.16.4.1 and 172.16.4.5.;C;;;;;
98. A host on the 10.10.100.0/24 LAN is not being assigned an IPv4 address by an enterprise DHCP server with the address 10.10.200.10/24. What is the best way for the network engineer to resolve this problem? Issue the command ip helper-address 10.10.200.10 on the router interface that is the 10.10.100.0/24 gateway. Issue the command default-router 10.10.200.10 at the DHCP configuration prompt on the 10.10.100.0/24 LAN gateway router. Issue the command ip helper-address 10.10.100.0 on the router interface that is the 10.10.200.0/24 gateway. Issue the command network 10.10.200.0 255.255.255.0 at the DHCP configuration prompt on the 10.10.100.0/24 LAN gateway router. Explain: The DHCP server is not on the same network as the hosts, so DHCP relay agent is required. This is achieved by issuing the ip helper-address command on the interface of the router that contains the DHCPv4 clients, in order to direct DHCP messages to the DHCPv4 server IP address.;A;;;;;
99. What is used in the EUI-64 process to create an IPv6 interface ID on an IPv6 enabled interface? the MAC address of the IPv6 enabled interface a randomly generated 64-bit hexadecimal address an IPv6 address that is provided by a DHCPv6 server an IPv4 address that is configured on the interface Explain: The EUI-64 process uses the MAC address of an interface to construct an interface ID (IID). Because the MAC address is only 48 bits in length, 16 additional bits (FF:FE) must be added to the MAC address to create the full 64-bit interface ID.;A;;;;;
100. Refer to the exhibit. NAT is configured on RT1 and RT2. The PC is sending a request to the web server. What IPv4 address is the source IP address in the packet between RT2 and the web server? 192.0.2.2 172.16.1.10 203.0.113.10 172.16.1.254 192.168.1.5 209.165.200.245 Explain: Because the packet is between RT2 and the web server, the source IP address is the inside global address of PC, 209.165.200.245.;A;;;;;
101. Refer to the exhibit. A company has an internal network of 172.16.25.0/24 for their employee workstations and a DMZ network of 172.16.12.0/24 to host servers. The company uses NAT when inside hosts connect to outside network. A network administrator issues the show ip nat translations command to check the NAT configurations. Which one of source IPv4 addresses is translated by R1 with PAT? 10.0.0.31 172.16.12.5 172.16.12.33 192.168.1.10 172.16.25.35 Explain: From the output, three IPv4 addresses (172.16.25.10, 172.16.25.25, and 172.16.25.35) are translated into the same IPv4 address (10.0.0.28) with three different ports, thus these three IPv4 addresses are translated with PAT. The IPv4 addresses 172.16.12.33 and 172.16.12.35 are translated with dynamic NAT. The IPv4 address 172.16.12.5 is translated with static NAT.;E;;;;;
102. What is the purpose of the Cisco PAK? It is a key for enabling an IOS feature set. It is a proprietary encryption algorithm. It is a compression file type used when installing IOS 15 or an IOS upgrade. It is a way to compress an existing IOS so that a newer IOS version can be co-installed on a router. Explain: PAK is a product activation key from Cisco. To activate a particular technology package for IOS 15, you must provide Cisco with the router product ID with associated serial number and a PAK that has been purchased.;A;;;;;
103. As part of the new security policy, all switches on the network are configured to automatically learn MAC addresses for each port. All running configurations are saved at the start and close of every business day. A severe thunderstorm causes an extended power outage several hours after the close of business. When the switches are brought back online, the dynamically learned MAC addresses are retained. Which port security configuration enabled this? auto secure MAC addresses dynamic secure MAC addresses static secure MAC addresses sticky secure MAC addresses Explain: With sticky secure MAC addressing, the MAC addresses can be either dynamically learned or manually configured and then stored in the address table and added to the running configuration file. In contrast, dynamic secure MAC addressing provides for dynamically learned MAC addressing that is stored only in the address table.;D;;;;;
104. A network administrator is configuring port security on a Cisco switch. The company security policy specifies that when a violation occurs, packets with unknown source addresses should be dropped and no notification should be sent. Which violation mode should be configured on the interfaces? off restrict protect shutdown Explain: On a Cisco switch, an interface can be configured for one of three violation modes, specifying the action to be taken if a violation occurs: Protect – Packets with unknown source addresses are dropped until a sufficient number of secure MAC addresses are removed, or the number of maximum allowable addresses is increased. There is no notification that a security violation has occurred. Restrict – Packets with unknown source addresses are dropped until a sufficient number of secure MAC addresses are removed, or the number of maximum allowable addresses is increased. In this mode, there is a notification that a security violation has occurred. Shutdown – The interface immediately becomes error-disabled and the port LED is turned off.;A;;;;;
105. Refer to the exhibit. What does the number 17:46:26:143 represent?;A) The time passed since the syslog server has been started, B) the time when the syslog message was issued, C) the time on the router when the show logging command was issued, D) the time passed since the interfaces have been up.;B;;;;
106. What statement describes a Cisco IOS image with the “universalk9_npe” designation for Cisco ISR G2 routers?;A) It is an IOS version that provides only the IPBase feature set., B) It is an IOS version that, at the request of some countries, removes any strong cryptographic functionality., C) It is an IOS version that offers all of the Cisco IOS Software feature sets., D) It is an IOS version that can only be used in the United States of America.;A;;;;
107. Refer to the exhibit. Routers R1 and R2 are connected via a serial link. One router is configured as the NTP master, and the other is an NTP client. Which two pieces of information can be obtained from the partial output of the show ntp associations detail command on R2? (Choose two.);A) Both routers are configured to use NTPv2., B) Router R1 is the master, and R2 is the client., C) Router R2 is the master, and R1 is the client., D) The IP address of R1 is 192. 168. 1. 2., E) The IP address of R2 is 192. 168. 1. 2.;B,C;;;;
108. A network administrator configures a router with the command sequence: R1(config)# boot system tftp://c1900-universalk9-mz.SPA.152-4.M3.bin R1(config)# boot system rom What is the effect of the command sequence?;A) The router will copy the IOS image from the TFTP server and then reboot the system., B) The router will load IOS from the TFTP server. If the image fails to load, it will load the IOS image from ROM., C) The router will search and load a valid IOS image in the sequence of flash, TFTP, and ROM., D) On the next reboot, the router will load the IOS image from ROM.;B;;;;
109. What is used as the default event logging destination for Cisco routers and switches?;A) syslog server, B) console line, C) terminal line, D) workstation;A;;;;
110. Refer to the exhibit. Which two ACLs would permit only the two LAN networks attached to R2 to access the network that connects to R1 G0/0 interface? (Choose two.);A) access-list 4 permit 192.168.10.0 0.0.0.255, B) access-list 1 permit 192.168.10.128 0.0.0.127, C) access-list 2 permit host 192.168.10.131, D) access-list 2 permit host 192.168.10.201, E) access-list 5 permit 192.168.10.128 0.0.0.63, F) access-list 5 permit 192.168.10.192 0.0.0.63, G) access-list 3 permit 192.168.10.128 0.0.0.63;A,E;;;;
111. A network administrator configures a router to provide stateful DHCPv6 operation. However, users report that workstations do not receive IPv6 addresses within the scope. Which configuration command should be checked to ensure that stateful DHCPv6 is implemented?;A) The dns-server line is included in the ipv6 dhcp pool section., B) The ipv6 nd managed-config-flag is entered for the interface facing the LAN segment., C) The ipv6 nd other-config-flag is entered for the interface facing the LAN segment., D) The domain-name line is included in the ipv6 dhcp pool section.;C;;;;
112. Which kind of message is sent by a DHCP client when its IP address lease has expired?;A) a DHCPDISCOVER broadcast message, B) a DHCPREQUEST broadcast message, C) a DHCPREQUEST unicast message, D) a DHCPDISCOVER unicast message;B;;;;
113. What is a disadvantage of NAT?;A) There is no end-to-end addressing., B) The router does not need to alter the checksum of the IPv4 packets., C) The internal hosts have to use a single public IPv4 address for external communication., D) The costs of readdressing hosts can be significant for a publicly addressed network.;A;;;;
114. Refer to the exhibit. The Gigabit interfaces on both routers have been configured with subinterface numbers that match the VLAN numbers connected to them. PCs on VLAN 10 should be able to print to the P1 printer on VLAN 12. PCs on VLAN 20 should print to the printers on VLAN 22. What interface and in what direction should you place a standard ACL that allows printing to P1 from data VLAN 10, but stops the PCs on VLAN 20 from using the P1 printer? (Choose two.);A) R1 Gi0/1.12, B) R1 S0/0/0, C) R2 S0/0/1, D) R2 Gi0/1.20, E) inbound, F) outbound;A,E;;;;
115. Which two packet filters could a network administrator use on an IPv4 extended ACL? (Choose two.);A) destination MAC address, B) ICMP message type, C) computer type, D) source TCP hello address, E) destination UDP port number;B,E;;;;
116. A network administrator is explaining to a junior colleague the use of the lt and gt keywords when filtering packets using an extended ACL. Where would the lt or gt keywords be used?;A) in an IPv6 extended ACL that stops packets going to one specific destination VLAN, B) in an IPv4 named standard ACL that has specific UDP protocols that are allowed to be used on a specific server, C) in an IPv6 named ACL that permits FTP traffic from one particular LAN getting to another LAN, D) in an IPv4 extended ACL that allows packets from a range of TCP ports destined for a specific network device;D;;;;
117. Which three values or sets of values are included when creating an extended access control list entry? (Choose three.);A) access list number between 1 and 99, B) access list number between 100 and 199, C) default gateway address and wildcard mask, D) destination address and wildcard mask, E) source address and wildcard mask, F) source subnet mask and wildcard mask, G) destination subnet mask and wildcard mask;A,B,D,E,F,G;;;;
118. A network administrator is adding ACLs to a new IPv6 multirouter environment. Which IPv6 ACE is automatically added implicitly at the end of an ACL so that two adjacent routers can discover each other?;permit ip any any,permit ip any host ip_address,permit icmp any any nd-na,deny ip any any;permit icmp any any nd-na;"In IPv6, the ""permit icmp any any nd-na"" ACE is automatically added at the end of an ACL to allow neighbor discovery (ND) messages between adjacent routers. ND is crucial for routers to discover each other on the same network segment.";;;
119. Refer to the exhibit. How did the router obtain the last route that is shown?;The ip route command was used.,The ipv6 route command was used.,Another router in the same organization provided the default route by using a dynamic routing protocol.,The ip address interface configuration mode command was used in addition to the network routing protocol configuration mode command.;Another router in the same organization provided the default route by using a dynamic routing protocol.;Based on the exhibit, the router obtained the last route through a dynamic routing protocol since it is marked as an O E2 route, indicating external OSPF routes redistributed into OSPF by another router in the organization.;;;
120. Which statement is correct about IPv6 routing?;IPv6 routing is enabled by default on Cisco routers.,IPv6 only supports the OSPF and EIGRP routing protocols.,IPv6 routes appear in the same routing table as IPv4 routes.,IPv6 uses the link-local address of neighbors as the next-hop address for dynamic routes.;IPv6 uses the link-local address of neighbors as the next-hop address for dynamic routes.;In IPv6, the link-local address of neighbors is used as the next-hop address for dynamic routes. This helps in neighbor discovery and routing in IPv6 networks.;;;
121. Refer to the exhibit. Which type of route is 172.16.0.0/16?;child route,ultimate route,default route,level 1 parent route;level 1 parent route;In the context of routing, the route 172.16.0.0/16 is a level 1 parent route, also known as a summary route. It encompasses multiple child routes and represents a summarized address range.;;;
122. Refer to the exhibit. Which type of IPv6 static route is configured in the exhibit?;directly attached static route,recursive static route,fully specified static route,floating static route;directly attached static route;The exhibit shows a directly attached IPv6 static route. It specifies the destination network and the outgoing interface directly connected to that network.;;;
123. Which summary IPv6 static route statement can be configured to summarize only the routes to networks 2001:db8:cafe::/58 through 2001:db8:cafe:c0::/58?;ipv6 route 2001:db8:cafe::/62 S0/0/0,ipv6 route 2001:db8:cafe::/54 S0/0/0,ipv6 route 2001:db8:cafe::/56 S0/0/0,ipv6 route 2001:db8:cafe::/60 S0/0/0;ipv6 route 2001:db8:cafe::/56 S0/0/0;"To summarize the routes from 2001:db8:cafe::/58 through 2001:db8:cafe:c0::/58, you can use the command ""ipv6 route 2001:db8:cafe::/56 S0/0/0"". This covers the specified range with a /56 prefix length.";;;
124. Refer to the exhibit. If RIPng is enabled, how many hops away does R1 consider the 2001:0DB8:ACAD:1::/64 network to be?;1,2,3,4;2;In the exhibit, you can see that R1 is directly connected to the network 2001:0DB8:ACAD:1::/64, and it has two outgoing interfaces to reach that network. Therefore, R1 considers it to be 2 hops away.;;;
125. Which statement is true about the difference between OSPFv2 and OSPFv3?;OSPFv3 routers use a different metric than OSPFv2 routers use.,OSPFv3 routers use a 128 bit router ID instead of a 32 bit ID.,OSPFv3 routers do not need to elect a DR on multiaccess segments.,OSPFv3 routers do not need to have matching subnets to form neighbor adjacencies.;OSPFv3 routers do not need to elect a DR on multiaccess segments.;In OSPFv3, the concept of a Designated Router (DR) is not used on multiaccess segments like it is in OSPFv2. OSPFv3 routers on a multiaccess segment communicate directly with each other, eliminating the need for a DR election.;;;
126. What happens immediately after two OSPF routers have exchanged hello packets and have formed a neighbor adjacency?;They exchange DBD packets in order to advertise parameters such as hello and dead intervals.,They negotiate the election process if they are on a multiaccess network.,They request more information about their databases.,They exchange abbreviated lists of their LSDBs.;They exchange DBD packets in order to advertise parameters such as hello and dead intervals.;After OSPF routers have exchanged hello packets and formed a neighbor adjacency, they exchange Database Description (DBD) packets to advertise information about their link-state database, including hello and dead interval parameters.;;;
127. What does the cost of an OSPF link indicate?;A higher cost for an OSPF link indicates a faster path to the destination.,Link cost indicates a proportion of the accumulated value of the route to the destination.,Cost equals bandwidth.,A lower cost indicates a better path to the destination than a higher cost does.;A lower cost indicates a better path to the destination than a higher cost does.;In OSPF, the cost of a link is used to indicate the preference for a path. A lower cost indicates a more preferred path, meaning it is a better path to the destination than a higher-cost path.;;;
128. Which three pieces of information does a link-state routing protocol use initially as link-state information for locally connected links? (Choose three.);the link router interface IP address and subnet mask,the type of network link,the link next-hop IP address,the link bandwidth,the cost of that link;the type of network link,the link bandwidth,the cost of that link;Link-state routing protocols initially use three pieces of information for locally connected links: the type of network link, the link bandwidth, and the cost of that link.;;;
129. Which three requirements are necessary for two OSPFv2 routers to form an adjacency? (Choose three.);The OSPF hello or dead timers on each router must match.,The link interface subnet masks must match.,The OSPFv2 process ID must be the same on each router.,The two routers must include the inter-router link network in an OSPFv2 network command.,The OSPFv2 process is enabled on the interface by entering the ospf process area-id command.,The link interface on each router must be configured with a link-local address.;The OSPF hello or dead timers on each router must match.,The link interface subnet masks must match.,The OSPFv2 process is enabled on the interface by entering the ospf process area-id command.;For two OSPFv2 routers to form an adjacency, the following requirements must be met: 1. The OSPF hello or dead timers on each router must match. 2. The link interface subnet masks must match. 3. The OSPFv2 process is enabled on the interface by entering the ospf process area-id command.;;;
